name,description,category,image,calories,protein,carbohydrates,fat,fiber,sugar,nutritionDensityScore,sodium,cholesterol,calcium,iron,potassium,magnesium,zinc,vitaminA,vitaminC,vitaminD,vitaminE,vitaminK
gouda cheese,Gouda Cheese is a nutritious food rich in essential nutrients.,Dairy,,100,7.0,0.6,7.7,0.0,0.6,211.424,0.2,31.9,196.0,0.06,33.9,8.1,1.1,0.053,0.0,0.04,0.026,0.074
pepper jack cheese lucerne,Pepper Jack Cheese Lucerne is a nutritious food rich in essential nutrients.,Vegetables,,75,5.0,0.0,6.0,2.5,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caraway cheese,Caraway Cheese is a nutritious food rich in essential nutrients.,Dairy,,106,7.1,0.9,8.3,0.0,0.0,207.072,0.2,26.3,190.5,0.2,26.3,6.2,0.8,0.014,0.0,0.0,0.0,0.0
gjetost cheese,Gjetost Cheese is a nutritious food rich in essential nutrients.,Dairy,,1058,21.9,96.8,67.0,0.0,0.0,1095.7,1.4,213.4,908.0,1.2,3198.4,158.9,2.6,0.8,0.0,0.0,0.0,0.0
tilsit cheese,Tilsit Cheese is a nutritious food rich in essential nutrients.,Dairy,,136,9.8,0.8,10.4,0.0,0.0,301.069,0.3,40.8,280.0,0.01,26.0,5.2,1.4,0.057,0.0,0.0,0.0,0.0
goat cheese,Goat Cheese is a nutritious food rich in essential nutrients.,Dairy,,103,6.1,0.009,8.4,0.0,0.031,99.494,0.1,22.4,84.3,0.5,44.7,8.2,0.2,0.1,0.0,0.078,0.082,0.046
brick cheese,Brick Cheese is a nutritious food rich in essential nutrients.,Dairy,,111,7.0,0.8,8.9,0.0,0.2,219.002,0.2,28.2,202.2,0.1,40.8,7.2,0.8,0.016,0.0,0.042,0.072,0.064
asadero cheese,Asadero Cheese is a nutritious food rich in essential nutrients.,Dairy,,402,25.5,3.2,31.9,0.0,3.2,808.175,0.7,118.7,746.9,0.6,97.2,29.4,3.4,0.098,0.0,0.071,0.3,0.02
camembert cheese,Camembert Cheese is a nutritious food rich in essential nutrients.,Dairy,,90,5.9,0.1,7.3,0.0,0.1,129.826,0.3,21.6,116.4,0.063,56.1,6.0,0.7,0.091,0.0,0.093,0.014,0.024
provolone cheese reduced fat,Provolone Cheese Reduced Fat is a nutritious food rich in essential nutrients.,Dairy,,310,27.9,4.0,19.9,0.0,0.6,906.9,1.0,62.2,854.3,0.6,155.9,31.6,3.6,0.2,0.0,0.027,0.2,0.076
roquefort cheese,Roquefort Cheese is a nutritious food rich in essential nutrients.,Dairy,,314,18.3,1.7,26.0,0.0,0.0,609.4,1.5,76.5,562.7,0.5,77.4,25.5,1.8,0.2,0.0,0.0,0.0,0.0
queso blanco cheese,Queso Blanco Cheese is a nutritious food rich in essential nutrients.,Dairy,,366,24.0,3.0,28.7,0.0,2.1,870.3,0.8,82.6,814.2,0.2,148.7,34.2,3.6,0.2,0.0,0.05,0.6,0.061
queso seco cheese,Queso Seco Cheese is a nutritious food rich in essential nutrients.,Dairy,,315,23.8,2.0,23.6,0.0,0.5,691.0,1.8,75.7,641.2,0.2,112.5,26.2,3.2,0.2,0.0,0.032,0.5,0.045
goat cheese soft,Goat Cheese Soft is a nutritious food rich in essential nutrients.,Dairy,,75,5.2,0.0,6.0,0.0,0.3,51.311,0.1,13.0,39.6,0.5,7.4,4.5,0.3,0.049,0.0,0.092,0.01,0.093
mozzarella cheese,Mozzarella Cheese is a nutritious food rich in essential nutrients.,Dairy,,90,6.7,0.7,6.6,0.0,0.0,165.648,0.1,23.7,151.5,0.1,22.8,6.0,0.9,0.037,0.0,0.044,0.001,0.008
chihuahua cheese,Chihuahua Cheese is a nutritious food rich in essential nutrients.,Dairy,,494,28.5,7.3,39.2,0.0,7.3,934.983,0.8,138.6,859.3,0.6,68.6,30.4,4.6,0.007,0.0,0.089,0.3,0.011
limburger cheese,Limburger Cheese is a nutritious food rich in essential nutrients.,Dairy,,98,6.0,0.1,8.2,0.0,0.1,163.575,0.2,27.0,149.1,0.011,38.4,6.3,0.6,0.1,0.0,0.004,0.055,0.046
muenster cheese,Muenster Cheese is a nutritious food rich in essential nutrients.,Dairy,,486,30.9,1.5,39.7,0.0,1.5,1019.4,0.8,126.7,946.4,0.5,176.9,35.6,3.7,0.4,0.0,0.065,0.3,0.056
queso fresco cheese,Queso Fresco Cheese is a nutritious food rich in essential nutrients.,Dairy,,365,22.1,3.6,29.1,0.0,2.8,745.8,0.9,84.2,690.5,0.2,157.4,29.3,3.1,0.3,0.0,0.055,0.5,0.087
brie cheese,Brie Cheese is a nutritious food rich in essential nutrients.,Dairy,,100,6.2,0.1,8.3,0.0,0.1,70.096,0.2,30.0,55.2,0.2,45.6,6.0,0.7,0.014,0.0,0.068,0.078,0.056
pimento cheese,Pimento Cheese is a nutritious food rich in essential nutrients.,Dairy,,525,31.0,2.4,43.7,0.1,0.9,940.9,2.0,131.6,859.6,0.6,226.8,30.8,4.2,0.3,3.2,0.099,0.4,0.086
mexican cheese,Mexican Cheese is a nutritious food rich in essential nutrients.,Dairy,,316,27.7,3.8,21.7,0.0,0.6,1337.0,0.9,69.4,1283.5,0.1,104.2,39.2,4.8,0.2,0.0,0.087,0.2,0.073
feta cheese,Feta Cheese is a nutritious food rich in essential nutrients.,Dairy,,80,4.3,1.2,6.4,0.0,0.0,160.058,0.3,26.7,147.9,0.2,18.6,5.7,0.9,0.014,0.0,0.06,0.036,0.057
mozzarella cheese fat free,Mozzarella Cheese Fat Free is a nutritious food rich in essential nutrients.,Dairy,,159,35.8,4.0,0.0,2.0,1.7,1128.2,0.8,20.3,1085.9,0.4,119.8,37.3,4.4,0.1,0.0,0.0,0.2,0.018
provolone cheese,Provolone Cheese is a nutritious food rich in essential nutrients.,Dairy,,463,33.8,2.8,35.1,0.0,0.7,1070.6,1.2,91.1,997.9,0.7,182.2,37.0,4.3,0.3,0.0,0.028,0.3,0.001
anejo cheese,Anejo Cheese is a nutritious food rich in essential nutrients.,Dairy,,492,28.3,6.1,39.6,0.0,6.1,972.205,1.5,138.6,897.6,0.6,114.8,37.0,3.9,0.098,0.0,0.032,0.3,0.078
honey,Honey is a nutritious food rich in essential nutrients.,Others,,64,0.08,17.3,0.0,0.025,17.2,18.892,0.011,0.0,1.3,0.017,10.9,0.4,0.008,0.0,0.1,0.0,0.0,0.0
apple butter,Apple Butter is a nutritious food rich in essential nutrients.,Fruits,,35,0.045,8.5,0.063,0.3,7.1,11.836,0.003,0.0,2.8,0.025,18.2,0.8,0.095,0.0,0.1,0.0,0.06,0.075
fruit jam,Fruit Jam is a nutritious food rich in essential nutrients.,Others,,56,0.0,13.8,0.095,0.2,9.7,19.919,0.052,0.0,4.0,0.07,15.4,0.8,0.03,0.0,1.8,0.0,0.062,0.0
chocolate hazelnut spread,Chocolate Hazelnut Spread is a nutritious food rich in essential nutrients.,Nuts,,100,1.0,11.5,5.5,1.0,10.0,39.8,0.099,0.0,20.0,0.8,75.3,11.8,0.2,0.0,0.0,0.0,0.9,0.071
peanut butter,Peanut Butter is a nutritious food rich in essential nutrients.,Dairy,,88,3.3,3.6,7.4,0.9,1.0,15.268,0.085,0.0,0.0,0.079,50.3,0.3,0.044,0.0,0.078,0.0,0.0,0.9
peanut spread,Peanut Spread is a nutritious food rich in essential nutrients.,Legumes,,101,3.8,2.2,8.5,1.2,0.5,27.3,0.028,0.0,11.2,0.4,126.8,25.4,0.5,0.0,0.0,0.0,1.2,0.046
chicken spread,Chicken Spread is a nutritious food rich in essential nutrients.,Meat,,88,10.1,2.3,9.8,0.2,0.3,31.972,0.4,31.4,9.0,0.5,59.4,6.7,0.6,0.076,0.0,0.0,0.0,0.0
cheese spread,Cheese Spread is a nutritious food rich in essential nutrients.,Dairy,,708,17.0,8.4,68.6,0.0,8.4,267.8,1.2,216.0,170.4,2.7,268.8,14.4,1.2,0.7,0.0,0.091,1.8,0.098
tahini,Tahini is a nutritious food rich in essential nutrients.,Others,,86,2.7,3.9,7.2,1.4,0.0,78.6,0.098,0.0,63.0,0.4,62.1,14.4,0.7,0.0,0.0,0.0,0.0,0.0
orange marmalade,Orange Marmalade is a nutritious food rich in essential nutrients.,Fruits,,49,0.014,13.3,0.0,0.1,12.0,22.119,0.016,0.0,7.6,0.053,7.4,0.4,0.046,0.0,1.0,0.0,0.089,0.0
american cheese spread,American Cheese Spread is a nutritious food rich in essential nutrients.,Dairy,,46,2.6,1.4,3.4,0.0,1.2,97.357,0.3,8.8,89.9,0.079,38.7,4.6,0.4,0.043,0.0,0.014,0.022,0.046
apricot jam,Apricot Jam is a nutritious food rich in essential nutrients.,Others,,48,0.1,12.9,0.01,0.044,8.7,18.91,0.004,0.0,4.0,0.066,15.4,0.8,0.062,0.0,1.8,0.0,0.048,0.0
chunky peanut butter,Chunky Peanut Butter is a nutritious food rich in essential nutrients.,Dairy,,94,3.8,3.5,8.0,1.3,1.3,24.1,0.03,0.0,7.2,0.3,119.2,25.6,0.4,0.0,0.0,0.0,1.0,0.016
ham and cheese spread,Ham And Cheese Spread is a nutritious food rich in essential nutrients.,Dairy,,37,2.4,0.3,2.8,0.0,0.0,38.238,0.2,9.2,32.6,0.1,24.3,2.7,0.3,0.03,0.0,0.0,0.0,0.0
chicken and rice casserole homade,Chicken And Rice Casserole Homade is a nutritious food rich in essential nutrients.,Meat,,27,2.0,2.4,1.0,0.3,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
picnic loaf,Picnic Loaf is a nutritious food rich in essential nutrients.,Others,,65,4.2,1.3,4.7,0.0,0.0,23.7,0.3,10.6,13.2,0.3,74.8,4.2,0.6,0.0,0.0,0.025,0.0,0.0
corn tamale,Corn Tamale is a nutritious food rich in essential nutrients.,Grains,,309,5.8,44.3,12.0,5.3,12.3,108.1,0.5,0.0,39.8,0.9,308.8,48.1,1.0,0.0,0.0,0.0,0.7,0.052
baked potato with cheese sauce bacon,Baked Potato With Cheese Sauce Bacon is a nutritious food rich in essential nutrients.,Vegetables,,451,18.4,44.4,25.9,0.0,0.0,428.7,1.0,29.9,308.0,3.1,1178.1,68.8,2.2,0.2,28.7,0.0,0.0,0.0
chinese egg roll,Chinese Egg Roll is a nutritious food rich in essential nutrients.,Eggs,,223,7.4,24.3,10.6,2.3,0.0,81.5,0.4,14.2,35.6,1.3,146.9,16.0,0.6,0.0,0.0,0.0,0.0,0.066
butter croissant,Butter Croissant is a nutritious food rich in essential nutrients.,Dairy,,231,4.7,26.1,12.0,1.5,6.4,66.8,0.2,38.2,21.1,1.2,67.3,9.1,0.4,0.1,0.1,0.0,0.5,0.022
enchilada with cheese beef,Enchilada With Cheese Beef is a nutritious food rich in essential nutrients.,Dairy,,323,11.9,30.5,17.6,0.0,0.0,292.933,1.3,40.3,228.5,3.1,574.1,82.6,2.7,0.016,1.3,0.0,0.0,0.0
corned beef hash with potatoes,Corned Beef Hash With Potatoes is a nutritious food rich in essential nutrients.,Vegetables,,387,20.6,21.9,24.2,2.6,0.8,118.6,1.0,75.5,44.8,2.4,405.9,30.7,3.3,0.0,2.1,0.0,0.057,0.017
biscuit with egg cheese bacon,Biscuit With Egg Cheese Bacon is a nutritious food rich in essential nutrients.,Dairy,,436,17.4,35.4,25.3,0.3,2.5,230.2,1.2,240.7,149.4,2.3,190.0,21.8,1.6,0.1,0.0,0.095,1.5,0.098
bagel with ham egg cheese,Bagel With Ham Egg Cheese is a nutritious food rich in essential nutrients.,Dairy,,483,26.7,52.4,18.5,0.4,7.0,287.6,1.3,242.6,185.3,4.1,261.7,40.1,2.4,0.2,0.0,0.001,1.2,0.018
quesadilla with chicken,Quesadilla With Chicken is a nutritious food rich in essential nutrients.,Meat,,529,27.1,43.3,27.5,3.1,3.4,588.7,1.3,66.6,484.2,3.2,329.4,45.0,2.6,0.1,0.2,0.1,0.5,0.03
corn rice,Corn Rice is a nutritious food rich in essential nutrients.,Grains,,110,1.8,25.2,0.3,0.4,3.0,51.9,0.2,0.0,2.9,9.9,30.5,5.5,2.2,0.2,11.2,0.0,0.035,0.0
kung pao chicken,Kung Pao Chicken is a nutritious food rich in essential nutrients.,Meat,,779,59.0,41.5,42.2,9.1,18.3,320.1,2.4,157.0,120.8,4.6,1316.7,145.0,4.5,0.0,42.9,0.0,6.2,0.012
beef empanada,Beef Empanada is a nutritious food rich in essential nutrients.,Meat,,298,10.1,27.8,16.3,1.8,1.6,76.2,0.4,23.1,17.8,2.4,169.1,18.7,1.7,0.0,0.0,0.0,0.6,0.072
frijoles with cheese,Frijoles With Cheese is a nutritious food rich in essential nutrients.,Dairy,,225,11.4,28.7,7.8,0.0,0.0,240.305,0.9,36.7,188.7,2.2,604.5,85.2,1.7,0.008,1.5,0.0,0.0,0.0
burrito with beef,Burrito With Beef is a nutritious food rich in essential nutrients.,Meat,,285,9.1,43.9,8.1,4.4,4.1,65.89,0.5,2.6,0.042,0.2,150.9,3.2,0.002,0.036,0.1,0.4,0.0,0.5
crispy chicken sandwich,Crispy Chicken Sandwich is a nutritious food rich in essential nutrients.,Meat,,350,14.8,33.2,17.6,0.0,3.9,114.1,0.7,0.0,46.6,1.9,233.1,25.2,0.7,0.0,0.0,0.0,0.0,0.0
enchilada with cheese,Enchilada With Cheese is a nutritious food rich in essential nutrients.,Dairy,,374,15.4,21.2,25.3,2.6,3.6,65.6,0.7,57.5,0.0,0.2,367.2,0.9,0.03,0.7,0.2,0.8,0.0,1.8
pork egg roll,Pork Egg Roll is a nutritious food rich in essential nutrients.,Meat,,189,8.4,25.1,6.1,1.8,4.5,96.5,0.3,11.9,28.9,1.3,180.2,17.0,0.8,0.0,24.9,0.085,0.2,0.064
corn on the cob with butter,Corn On The Cob With Butter is a nutritious food rich in essential nutrients.,Dairy,,155,4.5,31.9,3.4,0.0,0.0,52.078,0.056,5.8,4.4,0.9,359.2,40.9,0.9,0.004,6.9,0.0,0.0,0.0
pancakes with butter syrup,Pancakes With Butter Syrup is a nutritious food rich in essential nutrients.,Dairy,,260,4.1,45.4,7.0,0.0,0.0,123.319,0.6,29.0,63.8,1.3,125.3,24.4,0.5,0.015,1.7,0.0,0.7,0.0
burrito with beans,Burrito With Beans is a nutritious food rich in essential nutrients.,Legumes,,224,7.0,35.7,6.7,0.0,0.0,109.1,0.5,2.2,56.4,2.3,326.6,43.4,0.8,0.0,1.0,0.0,0.0,0.0
scrambled eggs,Scrambled Eggs is a nutritious food rich in essential nutrients.,Eggs,,100,6.5,1.0,7.6,0.0,0.8,44.726,0.1,200.2,26.8,1.2,69.1,6.6,0.8,0.066,1.6,0.086,0.5,0.001
baked potato with sour cream,Baked Potato With Sour Cream is a nutritious food rich in essential nutrients.,Vegetables,,393,6.7,50.0,22.3,0.0,0.0,221.8,0.2,24.2,105.7,3.1,1383.2,69.5,0.9,0.2,33.8,0.0,0.0,0.0
turkey and gravy,Turkey And Gravy is a nutritious food rich in essential nutrients.,Meat,,161,14.1,11.1,6.3,0.0,0.0,67.374,1.3,43.2,33.6,2.2,146.4,19.2,1.7,0.018,0.0,0.0,0.0,0.0
chicken egg roll,Chicken Egg Roll is a nutritious food rich in essential nutrients.,Meat,,158,8.4,22.8,3.6,1.9,4.5,84.75,0.4,11.2,37.6,1.4,224.8,24.0,0.4,0.085,9.0,0.0,0.3,0.072
vegetable egg roll,Vegetable Egg Roll is a nutritious food rich in essential nutrients.,Eggs,,153,5.2,25.0,3.6,2.2,5.3,84.1,0.4,0.0,35.9,1.5,195.0,20.3,0.4,0.0,10.7,0.0,0.4,0.099
ham cheese roll,Ham Cheese Roll is a nutritious food rich in essential nutrients.,Dairy,,67,3.8,1.1,5.2,0.0,0.0,26.6,0.3,16.2,16.2,0.3,82.3,4.5,0.6,0.0,0.0,0.061,0.037,0.0
biscuit with ham,Biscuit With Ham is a nutritious food rich in essential nutrients.,Meat,,386,13.4,43.8,18.4,0.8,2.2,239.732,1.1,24.9,160.5,2.7,196.6,22.6,1.6,0.05,0.1,0.08,1.4,0.089
lemon chicken,Lemon Chicken is a nutritious food rich in essential nutrients.,Fruits,,1440,68.6,122.0,74.9,7.0,55.2,545.212,1.5,203.8,248.4,8.4,987.4,95.6,3.2,0.099,15.9,0.045,8.1,0.2
hummus,Hummus is a nutritious food rich in essential nutrients.,Others,,435,12.0,49.5,21.1,9.8,0.7,236.1,0.6,0.0,120.5,3.8,425.6,71.3,2.7,0.0,19.4,0.0,1.8,0.059
croissant with egg cheese,Croissant With Egg Cheese is a nutritious food rich in essential nutrients.,Dairy,,368,12.8,24.3,24.7,0.0,0.0,307.9,0.6,215.9,243.8,2.2,174.0,21.6,1.8,0.0,0.1,0.0,0.0,0.0
enchirito with cheese beef beans,Enchirito With Cheese Beef Beans is a nutritious food rich in essential nutrients.,Dairy,,344,17.9,33.8,16.1,0.0,0.0,292.984,1.3,50.2,218.1,2.4,559.7,71.4,2.8,0.074,4.6,0.0,0.0,0.0
sweet sour pork,Sweet Sour Pork is a nutritious food rich in essential nutrients.,Meat,,38,1.2,3.3,2.2,0.1,1.4,13.977,0.003,3.4,6.4,0.4,21.3,1.8,0.1,0.003,0.3,0.0,0.1,0.058
crab cake,Crab Cake is a nutritious food rich in essential nutrients.,Seafood,,160,11.3,5.1,10.4,0.2,0.0,230.596,0.5,82.2,202.2,1.1,162.0,25.2,2.1,0.062,0.2,0.0,0.0,0.0
egg dinner roll,Egg Dinner Roll is a nutritious food rich in essential nutrients.,Eggs,,107,3.3,18.2,2.2,1.3,1.5,46.913,0.2,17.5,20.7,1.2,36.4,8.8,0.4,0.051,0.0,0.0,0.1,0.082
english muffin with egg cheese sausage,English Muffin With Egg Cheese Sausage is a nutritious food rich in essential nutrients.,Dairy,,472,22.1,28.8,29.9,0.3,2.5,362.7,0.8,269.0,277.2,4.3,242.6,28.1,1.7,0.1,0.0,0.063,1.6,0.051
buttermilk pancakes,Buttermilk Pancakes is a nutritious food rich in essential nutrients.,Dairy,,86,2.6,10.9,3.5,0.0,0.0,77.568,0.2,22.0,59.7,0.6,55.1,5.7,0.2,0.094,0.2,0.0,0.0,0.0
omelet,Omelet is a nutritious food rich in essential nutrients.,Others,,94,6.4,0.4,7.1,0.0,0.2,14.377,0.013,190.9,0.05,0.07,101.9,0.9,0.03,0.4,0.003,0.0,0.098,0.8
taco with chicken cheese lettuce,Taco With Chicken Cheese Lettuce is a nutritious food rich in essential nutrients.,Vegetables,,185,13.0,19.3,6.2,1.2,1.3,161.153,0.6,28.4,119.6,1.6,212.7,23.5,0.7,0.014,0.2,0.017,0.2,0.075
spinach souffle,Spinach Souffle is a nutritious food rich in essential nutrients.,Vegetables,,230,10.7,8.0,17.6,1.0,2.5,273.4,0.8,160.5,224.4,1.6,314.2,40.8,1.2,0.2,9.9,0.063,1.3,0.2
english muffin with cheese sausage,English Muffin With Cheese Sausage is a nutritious food rich in essential nutrients.,Dairy,,365,14.3,27.3,22.3,0.5,2.1,294.696,0.7,46.4,226.8,3.4,193.3,22.7,1.3,0.074,0.0,0.085,0.6,0.01
potato gratin,Potato Gratin is a nutritious food rich in essential nutrients.,Vegetables,,328,12.4,27.6,18.6,4.4,0.0,380.7,1.1,56.4,291.6,1.6,970.2,49.0,1.7,0.2,24.3,0.0,0.0,0.0
biscuit with egg,Biscuit With Egg is a nutritious food rich in essential nutrients.,Eggs,,436,17.4,35.4,25.3,0.3,2.5,230.3,1.2,240.7,149.4,2.3,190.0,21.8,1.6,0.1,0.1,0.027,1.5,0.037
french fries deep fried,French Fries Deep Fried is a nutritious food rich in essential nutrients.,Others,,222,2.4,29.4,10.5,2.7,0.2,45.364,0.1,0.0,0.075,0.038,88.8,0.6,0.019,0.063,0.3,3.3,0.0,1.2
sweet sour chicken,Sweet Sour Chicken is a nutritious food rich in essential nutrients.,Meat,,46,1.8,4.4,2.3,0.2,2.1,17.773,0.043,4.9,8.2,0.4,28.9,2.7,0.057,0.031,0.4,0.0,0.2,0.098
burrito with beans beef,Burrito With Beans Beef is a nutritious food rich in essential nutrients.,Meat,,460,27.8,47.0,18.0,7.2,5.3,326.183,1.4,62.7,216.9,4.6,648.3,60.3,4.8,0.096,4.6,0.059,1.1,0.022
nachos with cinnamon sugar,Nachos With Cinnamon Sugar is a nutritious food rich in essential nutrients.,Others,,592,7.2,63.4,36.0,0.0,0.0,202.5,0.4,39.2,85.0,2.9,78.5,19.6,0.6,0.0,8.0,0.0,0.0,0.0
arroz con grandules,Arroz Con Grandules is a nutritious food rich in essential nutrients.,Others,,209,4.0,35.4,5.7,1.6,0.0,56.2,0.7,0.0,9.2,0.3,96.6,16.1,0.9,0.0,0.0,0.0,0.8,0.066
chili con carne,Chili Con Carne is a nutritious food rich in essential nutrients.,Others,,271,14.7,33.1,8.8,8.3,4.7,66.245,1.1,22.8,0.063,0.6,220.1,3.4,0.039,0.4,0.3,0.5,0.0,1.3
arroz con abichuelas,Arroz Con Abichuelas is a nutritious food rich in essential nutrients.,Others,,223,6.2,37.3,5.4,4.1,0.2,78.5,0.6,0.0,23.6,1.9,304.6,33.0,1.1,0.0,0.0,0.0,0.4,0.046
biscuit with sausage,Biscuit With Sausage is a nutritious food rich in essential nutrients.,Others,,412,10.7,33.3,27.1,0.4,1.8,125.8,0.9,31.1,52.2,2.1,169.8,14.4,0.8,0.0,0.0,0.044,0.9,0.035
vegetarian stew,Vegetarian Stew is a nutritious food rich in essential nutrients.,Others,,304,42.0,17.3,7.4,2.7,3.1,149.2,1.0,0.0,76.6,3.2,296.4,313.7,2.7,0.0,0.0,0.0,1.2,0.041
chicken sandwich with cheese,Chicken Sandwich With Cheese is a nutritious food rich in essential nutrients.,Dairy,,632,29.4,41.6,38.8,0.0,0.0,374.2,1.2,77.5,257.6,3.6,332.9,43.3,2.9,0.2,3.0,0.0,0.0,0.0
biscuit with egg steak,Biscuit With Egg Steak is a nutritious food rich in essential nutrients.,Eggs,,410,17.9,21.3,28.4,0.0,0.0,210.8,0.9,272.3,137.6,5.3,306.4,25.2,2.8,0.2,0.1,0.0,0.0,0.0
taco salad,Taco Salad is a nutritious food rich in essential nutrients.,Others,,212,10.0,17.9,11.2,0.0,0.0,189.0,0.6,33.0,145.5,1.7,315.0,39.0,2.0,0.0,2.7,0.0,0.0,0.0
succotash,Succotash is a nutritious food rich in essential nutrients.,Others,,213,9.7,46.8,1.5,0.0,0.0,109.2,0.5,0.0,32.6,2.9,787.2,101.8,1.2,0.0,15.7,0.0,0.0,0.0
nachos with cheese jalapeno peppers,Nachos With Cheese Jalapeno Peppers is a nutritious food rich in essential nutrients.,Vegetables,,608,16.8,60.1,34.1,0.0,0.0,735.0,1.7,83.6,620.2,2.4,293.8,108.1,2.9,0.4,1.0,0.0,0.0,0.0
biscuit with egg ham,Biscuit With Egg Ham is a nutritious food rich in essential nutrients.,Meat,,442,20.4,31.4,27.0,0.8,4.2,305.1,1.4,299.5,220.8,4.6,318.7,30.7,2.2,0.1,0.0,0.093,2.1,0.057
ladyfingers,Ladyfingers is a nutritious food rich in essential nutrients.,Others,,103,3.0,16.9,2.6,0.3,7.2,38.1,0.016,62.5,13.3,1.0,32.0,3.4,0.3,0.0,1.0,0.033,0.2,0.002
mozzarella steak fried,Mozzarella Steak Fried is a nutritious food rich in essential nutrients.,Dairy,,102,4.6,7.7,5.9,0.6,0.7,126.963,0.2,10.2,107.9,0.2,35.7,6.8,0.6,0.023,0.0,0.096,0.3,0.071
tamale navajo,Tamale Navajo is a nutritious food rich in essential nutrients.,Others,,285,11.7,33.7,11.4,5.8,1.8,122.0,0.8,31.6,53.9,2.3,243.7,40.9,2.8,0.0,3.2,0.0,0.0,0.0
blueberry pancakes,Blueberry Pancakes is a nutritious food rich in essential nutrients.,Fruits,,84,2.3,11.0,3.5,0.0,0.0,96.631,0.2,21.3,78.3,0.7,52.4,6.1,0.2,0.023,0.8,0.0,0.0,0.0
chimichanga with beef cheese,Chimichanga With Beef Cheese is a nutritious food rich in essential nutrients.,Dairy,,443,20.1,39.3,23.4,0.0,0.0,327.3,1.0,51.2,237.9,3.8,203.1,60.4,3.4,0.1,2.7,0.0,0.0,0.0
